year,movie,movie_id,duration,genre,rate,synopsis,votes,gross,release_date,popularity,awards_wins,Oscar_Best_Picture_won,Oscar_nominated
2003,Dreamcatcher,tt0285531,134,Drama|Horror|Sci-Fi,5.5,Friends on a camping trip discover that the town they're vacationing in is being plagued in an unusual fashion by parasitic aliens from outer space.,77434,33690000,21/03/2003,2024,0,No,0
2001,Monster's Ball,tt0285742,111,Drama|Romance,7.0999999,"After a family tragedy, a racist prison guard reexamines his attitudes while falling in love with the African American wife of the last prisoner he executed.",72725,31250000,01/03/2002,1645,1,No,2
2002,Signs,tt0286106,106,Drama|Mystery|Sci-Fi,6.69999981,A family living on a farm finds mysterious crop circles in their fields which suggests something more frightening to come.,278134,227970000,02/08/2002,726,0,No,0
2003,The Triplets of Belleville,tt0286244,78,Animation|Comedy|Drama,7.80000019,"When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him.",43600,7000000,13/02/2004,,4,No,2
2002,Bend It Like Beckham,tt0286499,112,Comedy|Drama|Romance,6.69999981,The daughter of orthodox Sikh rebels against her parents' traditionalism and joins a football team.,91631,32540000,01/08/2003,2389,1,No,0
2003,Hulk,tt0286716,138,Action|Sci-Fi,5.69999981,"Bruce Banner, a genetics researcher with a tragic past, suffers an accident that causes him to transform into a raging green monster when he gets angry.",216818,132120000,20/06/2003,1597,0,No,0
2002,Talk to Her,tt0287467,112,Drama|Mystery|Romance,8,Two men share an odd friendship while they care for two women who are both in deep comas.,88643,9284265,14/02/2003,3647,4,No,2
2003,Daredevil,tt0287978,103,Action|Crime|Drama,5.30000019,A man blinded by toxic waste which also enhanced his remaining senses fights crime as an acrobatic martial arts superhero.,179675,430000,14/02/2003,1422,0,No,0
2003,Zelary,tt0288330,150,Romance|Drama,7.69999981,"A nurse and her surgeon-lover are part of a resistance movement in 1940s Czechoslovakia. When they are discovered, her lover flees and she must find a place to hide. A patient whose life ... See full summary И",2908,330000,04/09/2003,,0,No,1
2002,Red Dragon,tt0289765,124,Crime|Drama|Thriller,7.19999981,"A retired FBI agent with psychological gifts is assigned to help track down ""The Tooth Fairy"", a mysterious serial killer; aiding him is imprisoned criminal genius Hannibal ""The Cannibal"" Lecter.",208995,92930000,04/10/2002,1443,1,No,0
2004,The Butterfly Effect,tt0289879,113,Sci-Fi|Thriller,7.69999981,"Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal.",369820,20000,23/01/2004,1156,0,No,0
2003,X-Men 2,tt0290334,134,Action|Adventure|Fantasy,7.5,"The X-Men band together to find a mutant assassin who has made an attempt on the President's life, while the Mutant Academy is attacked by military forces.",419112,214950000,02/05/2003,1499,0,No,0
2003,The Recruit,tt0292506,115,Action|Drama|Mystery,6.5999999,A brilliant young CIA trainee is asked by his mentor to help find a mole in the Agency.,115655,52780000,31/01/2003,2246,0,No,0
2001,Son of the Bride,tt0292542,123,Comedy|Drama,7.9000001,"At age 42, Rafael Belvedere is having a crisis. He lives in the shadow of his father, he feels guilty about rarely visiting his aging mother, his ex-wife says he doesn't spend enough time ... See full summary И",12025,620000,16/08/2001,,0,No,1
2004,The Phantom of the Opera,tt0293508,143,Drama|Musical|Romance,7.30000019,A young soprano becomes the obsession of a disfigured musical genius who lives beneath the Paris Opéra House.,98851,51230000,22/12/2004,652,1,No,3
2002,The Transporter,tt0293662,92,Action|Crime|Thriller,6.80000019,"Frank is hired to ""transport"" packages for unknown clients and has made a very good living doing so. But when asked to move a package that begins moving, complications arise.",243998,25300000,11/10/2002,2531,0,No,0
2005,Rent,tt0294870,135,Drama|Musical|Romance,7,"This is the film version of the Pulitzer and Tony Award winning musical about Bohemians in the East Village of New York City struggling with life, love and AIDS, and the impacts they have on America.",42525,29080000,23/11/2005,1722,0,No,0
2002,Harry Potter and the Chamber of Secrets,tt0295297,161,Adventure|Family|Fantasy,7.4000001,"Harry ignores warnings not to return to Hogwarts, only to find the school plagued by a series of mysterious attacks and a strange voice haunting him.",407624,261970000,15/11/2002,419,4,No,0
2003,Wrong Turn,tt0295700,84,Horror,6.0999999,"Six people find themselves trapped in the woods of West Virginia, hunted down by ""cannibalistic mountain men grossly disfigured through generations of in-breeding.""",90075,15420000,30/05/2003,2002,0,No,0
2002,xXx,tt0295701,124,Action|Adventure|Thriller,5.80000019,"An extreme sports athlete, Xander Cage, is recruited by the government on a special mission.",146847,141200000,09/08/2002,82,0,No,0
2004,The Chronicles of Riddick,tt0296572,119,Action|Adventure|Sci-Fi,6.69999981,"The wanted criminal Riddick arrives on a planet called Helion Prime, and finds himself up against an invading empire called the Necromongers, an army that plans to convert or kill all humans in the universe.",187967,57640000,11/06/2004,756,0,No,0
2002,Far from Heaven,tt0297884,107,Drama|Romance,7.4000001,"In 1950s Connecticut, a housewife faces a marital crisis and mounting racial tensions in the outside world.",37396,15850000,10/01/2003,,22,No,4
2002,The Ring,tt0298130,115,Horror|Mystery,7.0999999,A journalist must investigate a mysterious videotape which seems to cause the death of anyone in a week of viewing it.,259896,128580000,18/10/2002,329,1,No,0
2004,Shrek 2,tt0298148,93,Animation|Adventure|Comedy,7.19999981,Princess Fiona's parents invite her and Shrek to dinner to celebrate her marriage. If only they knew the newlyweds were both ogres.,327973,436470000,19/05/2004,1551,7,No,2
2002,8 Mile,tt0298203,110,Drama|Music,7,"A young rapper, struggling with every aspect of his life, wants to make it big but his friends and foes make this odyssey of rap harder than it may seem.",194782,116720000,08/11/2002,975,3,No,1
2002,Whale Rider,tt0298228,101,Drama|Family,7.5999999,"A contemporary story of love, rejection and triumph as a young Maori girl fights to fulfill a destiny her grandfather refuses to recognize.",34863,20770000,29/08/2003,,5,No,1
2003,The Core,tt0298814,135,Action|Adventure|Sci-Fi,5.4000001,The only way to save Earth from catastrophe is to drill down to the core and set it spinning again.,78694,31110000,28/03/2003,2620,0,No,0
2002,In America,tt0298845,105,Drama,7.80000019,A family of Irish immigrants adjust to life on the mean streets of Hell's Kitchen while also grieving the death of a child.,37158,15540000,06/02/2004,,1,No,3
2002,Chicago,tt0299658,113,Comedy|Crime|Musical,7.19999981,Murderesses Velma Kelly and Roxie Hart find themselves on death row together and fight for the fame that will keep them from the gallows in 1920s Chicago.,176942,170680000,24/01/2003,1081,19,Yes,13
2002,Hero,tt0299977,99,Action|Adventure|History,7.9000001,"A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors.",153127,80000,27/08/2004,2081,5,No,1
2002,Blue Crush,tt0300532,104,Drama|Romance|Sport,5.5999999,"As a hard-core surfer girl prepares for a big competition, she finds herself falling for a football player.",26465,40120000,16/08/2002,2053,0,No,0
2002,Dirty Pretty Things,tt0301199,97,Crime|Drama|Thriller,7.4000001,An illegal Nigerian immigrant discovers the unpalatable side of London life.,35743,8110000,05/09/2003,,1,No,1
2002,The Hot Chick,tt0302640,104,Comedy|Fantasy,5.5,"An attractive and popular teenager who is mean-spirited toward others finds herself in the body of an older man, and must find a way to get back to her original body.",76618,35020000,13/12/2002,2030,0,No,0
2003,Old School,tt0302886,88,Comedy,7.19999981,Three friends attempt to recapture their glory days by opening up a fraternity near their alma mater.,189347,74610000,21/02/2003,556,0,No,0
2002,Cabin Fever,tt0303816,93,Comedy|Horror,5.5999999,"A group of five college graduates rent a cabin in the woods and begin to fall victim to a horrifying flesh-eating virus, which attracts the unwanted attention of the homicidal locals.",63726,21160000,12/09/2003,1648,0,No,0
2004,Harry Potter and the Prisoner of Azkaban,tt0304141,142,Adventure|Family|Fantasy,7.80000019,"It's Harry's third year at Hogwarts; not only does he have a new ""Defense Against the Dark Arts"" teacher, but there is also trouble brewing. Convicted murderer Sirius Black has escaped the Wizards' Prison and is coming after Harry.",402666,249360000,04/06/2004,377,3,No,2
2003,American Splendor,tt0305206,101,Biography|Comedy|Drama,7.5,An original mix of fiction and reality illuminates the life of comic book hero everyman Harvey Pekar.,42755,6000000,12/09/2003,,7,No,1
2003,Anger Management,tt0305224,106,Comedy,6.19999981,"Dave Buznik is a businessman who is wrongly sentenced to an anger-management program, where he meets an aggressive instructor.",174831,133760000,11/04/2003,1898,0,No,0
2004,Shark Tale,tt0307453,90,Animation|Adventure|Comedy,6,"When a son of a gangster shark boss is accidentally killed while on the hunt, his would-be prey and his vegetarian brother both decide to use the incident to their own advantage.",137137,160760000,01/10/2004,2747,0,No,1
2004,Finding Neverland,tt0308644,166,Biography|Drama|Family,7.69999981,The story of J.M. Barrie's friendship with a family who inspired him to create Peter Pan.,177622,51676606,17/12/2004,2021,3,No,7
2003,Final Destination 2,tt0309593,90,Horror|Thriller,6.19999981,"When Kimberly has a violent premonition of a highway pileup she blocks the freeway, keeping a few others meant to die, safe...Or are they? The survivors mysteriously start dying and it's up to Kimberly to stop it before she's next.",124128,46460000,31/01/2003,1758,0,No,0
2003,Identity,tt0309698,90,Mystery|Thriller,7.30000019,"Stranded at a desolate Nevada motel during a nasty rain-storm, ten strangers become acquainted with each other when they realize that they're being killed off one by one.",183633,51480000,25/04/2003,1066,0,No,0
2003,A Mighty Wind,tt0310281,91,Comedy|Music,7.30000019,Mockumentary captures the reunion of 1960s folk trio the Folksmen as they prepare for a show at The Town Hall to memorialize a recently deceased concert promoter.,22841,17510000,09/05/2003,,3,No,1
2003,Master and Commander: The Far Side of the World,tt0311113,138,Action|Adventure|Drama,7.4000001,"During the Napoleonic Wars, a brash British captain pushes his ship and crew to their limits in pursuit of a formidable French war vessel around South America.",172167,93930000,14/11/2003,2521,7,No,10
2003,Holes,tt0311289,117,Adventure|Comedy|Drama,7.0999999,A wrongfully convicted boy is sent to a brutal desert detention camp where he joins the job of digging holes for some mysterious reason.,60107,67330000,18/04/2003,2242,0,No,0
2003,The League of Extraordinary Gentlemen,tt0311429,110,Action|Adventure|Fantasy,5.80000019,"In an alternate Victorian Age world, a group of famous contemporary fantasy, SF and adventure characters team up on a secret mission.",144395,66460000,11/07/2003,2174,0,No,0
2002,The Man Without a Past,tt0311519,97,Comedy|Drama|Romance,7.69999981,"The second part of Aki KaurismЉki's ""Finland"" trilogy, the film follows a man who arrives in Helsinki and gets beaten up so severely he develops amnesia. Unable to remember his name or ... See full summary И",17945,920000,06/11/2002,,0,No,1
2003,Pieces of April,tt0311648,80,Comedy|Drama,7.0999999,A wayward daughter invites her dying mother and the rest of her estranged family to her apartment for Thanksgiving dinner.,18292,2360000,28/11/2003,,1,No,1
2005,The Curse of the Were-Rabbit,tt0312004,85,Animation|Comedy|Family,7.5,"Wallace and his loyal dog, Gromit, set out to discover the mystery behind the garden sabotage that plagues their village and threatens the annual giant vegetable growing contest.",101556,56070000,07/10/2005,,7,No,1
2003,The Cat in the Hat,tt0312528,82,Adventure|Comedy|Family,3.79999995,Two bored children have their lives turned upside down when a talking cat comes to visit them.,37236,100450000,21/11/2003,918,0,No,0
2002,El crimen del padre Amaro,tt0313196,118,Drama|Romance,6.80000019,"Politics and sexual passions threaten to corrupt a young, newly-ordained priest in a small Mexican town.",11281,5710000,13/12/2002,,0,No,1
2003,Love Actually,tt0314331,135,Comedy|Drama|Romance,7.69999981,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.",333993,59370000,14/11/2003,265,4,No,0
2003,Tears of the Sun,tt0314353,121,Action|Drama|Thriller,6.5999999,A Special-Ops commander leads his team into the Nigerian jungle in order to rescue a doctor who will only join them if they agree to save 70 refugees too.,96087,43430000,07/03/2003,2275,0,No,0
2003,Bruce Almighty,tt0315327,101,Comedy|Drama|Fantasy,6.69999981,A guy who complains about God too often is given almighty powers to teach him how difficult it is to run the world.,306653,242590000,23/05/2003,1676,1,No,0
2003,21 Grams,tt0315733,124,Drama,7.69999981,"A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con.",194344,16250000,16/01/2004,2490,2,No,2
2003,House of Sand and Fog,tt0315983,126,Drama,7.5999999,An abandoned wife is evicted from her house and starts a tragic conflict with her home's new owners.,57629,13010000,09/01/2004,,5,No,3
2003,Peter Pan,tt0316396,113,Adventure|Family|Fantasy,6.9000001,"The Darling family children receive a visit from Peter Pan, who takes them to Never Never Land where an ongoing war with the evil Pirate Captain Hook is taking place.",55577,48420000,25/12/2003,1514,0,No,0
2004,Spider-Man 2,tt0316654,127,Action|Adventure,7.30000019,Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius.,427065,373380000,30/06/2004,1122,3,No,3
2004,Bridget Jones: The Edge of Reason,tt0317198,108,Comedy|Drama|Romance,5.9000001,"After finding love, Bridget Jones questions if she really has everything she's dreamed of having.",80876,40200000,19/11/2004,1886,0,No,0
2006,Cars,tt0317219,117,Animation|Adventure|Comedy,7.19999981,"A hot-shot race-car named Lightning McQueen gets waylaid in Radiator Springs, where he finds the true meaning of friendship and family.",275340,244050000,09/06/2006,622,7,No,2
2002,City of God,tt0317248,130,Crime|Drama,8.69999981,"Two boys growing up in a violent neighborhood of Rio de Janeiro take different paths: one becomes a photographer, the other a drug dealer.",556231,7560000,13/02/2004,489,4,No,4
2003,Daddy Day Care,tt0317303,92,Comedy|Family,5.5,Two men get laid off and have to become stay-at-home dads when they can't find jobs. This inspires them to open their own day-care center.,51019,104150000,09/05/2003,2298,0,No,0
2004,The Incredibles,tt0317705,115,Animation|Action|Adventure,8,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.",496362,261440000,05/11/2004,228,13,No,4
2003,The Italian Job,tt0317740,111,Action|Crime|Thriller,7,"After being betrayed and left for dead in Italy, Charlie Croker and his team plan an elaborate gold heist against their former ally.",293086,106130000,30/05/2003,985,0,No,0
2006,Mission: Impossible III,tt0317919,126,Action|Adventure|Thriller,6.9000001,Agent Ethan Hunt comes into conflict with a dangerous and sadistic arms dealer who threatens his life and his fianceé in response .,265019,133380000,05/05/2006,1463,0,No,0
2003,The Cooler,tt0318374,101,Crime|Drama|Fantasy,7,"In an old school Las Vegas casino, its top gambling jinx breaks his curse when he falls in love, much to his boss' consternation.",29123,8240000,16/01/2004,,0,No,1
2004,The Motorcycle Diaries,tt0318462,126,Adventure|Biography|Drama,7.80000019,The dramatization of a motorcycle road trip Che Guevara went on in his youth that showed him his life's calling.,85134,16760000,15/10/2004,4223,3,No,2
2004,Resident Evil: Apocalypse,tt0318627,94,Action|Horror|Sci-Fi,6.19999981,"Alice awakes in Raccoon City, only to find it has become infested with zombies and monsters. With the help of Jill Valentine and Carlos Olivera, Alice must find a way out of the city before it is destroyed by a nuclear missile.",156010,50740000,10/09/2004,637,0,No,0
2003,Big Fish,tt0319061,125,Adventure|Drama|Fantasy,8,A frustrated son tries to determine the fact from fiction in his dying father's life.,358748,66260000,09/01/2004,956,0,No,1
2004,The Day After Tomorrow,tt0319262,124,Action|Adventure|Sci-Fi,6.4000001,"Jack Hall, paleoclimatologist, must make a daring trek across America to reach his son, trapped in the cross-hairs of a sudden international storm which plunges the planet into a new Ice Age.",343004,186740000,28/05/2004,863,1,No,0
2003,Elf,tt0319343,97,Comedy|Family|Fantasy,6.9000001,"After inadvertently wreaking havoc on the elf community due to his ungainly size, a man raised as an elf at the North Pole is sent to the U.S. in search of his true identity.",157147,173380000,07/11/2003,2086,0,No,0
2005,Kingdom of Heaven,tt0320661,144,Action|Adventure|Drama,7.19999981,"Balian of Ibelin travels to Jerusalem during the crusades of the 12th century, and there he finds himself as the defender of the city and its people.",223936,47400000,06/05/2005,816,1,No,0
2003,Underworld,tt0320691,121,Action|Fantasy|Thriller,7,"Selene, a vampire warrior, is entrenched in a conflict between vampires and werewolves, while falling in love with Michael, a human who is sought by werewolves for unknown reasons.",215559,51480000,19/09/2003,362,0,No,0
2003,2 Fast 2 Furious,tt0322259,107,Action|Crime|Thriller,5.9000001,Former cop Brian O'Conner is called upon to bust a dangerous criminal and he recruits the help of a former childhood friend and street racer who has a chance to redeem himself.,198288,127080000,06/06/2003,1662,0,No,0
2003,Freaky Friday,tt0322330,97,Comedy|Family|Fantasy,6.0999999,"An overworked mother and her daughter do not get along. When they switch bodies, each is forced to adapt to the other's life for one freaky Friday.",100338,110220000,06/08/2003,2226,0,No,0
2002,Twin Sisters,tt0322674,137,Drama|Romance|War,7.5,Twin Sisters is an epic love story based on the Dutch bestseller by Tessa de Loo that has been read by more than 3.5 million readers in Holland and Germany.,5735,1207,12/12/2002,,0,No,1
2003,The Texas Chainsaw Massacre,tt0324216,98,Horror,6.19999981,"After picking up a traumatized young hitchhiker, five friends find themselves stalked and hunted by a deformed chainsaw-wielding killer and his family of equally psychopathic killers.",111252,80150000,17/10/2003,2191,0,No,0
2003,The Last Samurai,tt0325710,154,Action|Drama|History,7.69999981,An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.,326503,111110000,05/12/2003,1421,0,No,4
2003,Pirates of the Caribbean: The Curse of the Black Pearl,tt0325980,143,Action|Adventure|Fantasy,8,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",839783,305390000,09/07/2003,407,5,No,5
2003,Mystic River,tt0327056,138,Crime|Drama|Mystery,8,"With a childhood tragedy that overshadowed their lives, three men are reunited by circumstance when one has a family tragedy.",347851,90140000,15/10/2003,827,13,No,6
2004,Around the World in 80 Days,tt0327437,120,Action|Adventure|Comedy,5.80000019,"To win a bet, an eccentric British inventor beside his Chinese valet and an aspiring French artist, embarks on a trip full of adventures and dangers around the world in exactly 80 days.",70903,24000000,16/06/2004,1757,0,No,0
2009,Coraline,tt0327597,100,Animation|Family|Fantasy,7.69999981,"An adventurous girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.",151828,75280000,06/02/2009,1070,1,No,1
2004,Man on Fire,tt0328107,146,Action|Crime|Drama,7.69999981,"In Mexico City, a former assassin swears vengeance on those who committed an unspeakable act against the family he was hired to protect.",274306,77860000,23/04/2004,616,0,No,0
2003,Thirteen,tt0328538,100,Drama,6.80000019,"A thirteen-year-old girl's relationship with her mother is put to the test as she discovers drugs, sex, and petty crime in the company of her cool but troubled best friend.",69939,4600000,19/09/2003,1006,0,No,1
2003,Under the Tuscan Sun,tt0328589,113,Comedy|Drama|Romance,6.80000019,A writer impulsively buys a villa in Tuscany in order to change her life.,37099,43600000,26/09/2003,1948,0,No,0
2003,Brother Bear,tt0328880,85,Animation|Adventure|Comedy,6.80000019,"When a young Inuit hunter needlessly kills a bear, he is magically changed into a bear himself as punishment with a talkative cub being his only guide to changing back.",73916,85330000,31/10/2003,4372,0,No,1
2003,Freddy vs. Jason,tt0329101,97,Action|Horror|Thriller,5.80000019,"Freddy Krueger and Jason Voorhees return to terrorize the teenage population. Except this time, they're out to get each other, too.",91648,82160000,15/08/2003,900,0,No,0
2003,Seabiscuit,tt0329575,150,Drama|History|Sport,7.30000019,True story of the undersized Depression-era racehorse whose victories lifted not only the spirits of the team behind it but also those of their nation.,58634,120147445,25/07/2003,4761,0,No,7
2005,xXx: State of the Union,tt0329774,101,Action|Adventure|Crime,4.30000019,"Darius Stone, a new agent in the XXX program, is sent to Washington, DC to defuse a power struggle amongst national leaders.",53430,26080000,29/04/2005,191,0,No,0
2005,Harry Potter and the Goblet of Fire,tt0330373,157,Adventure|Family|Fantasy,7.69999981,Harry finds himself mysteriously selected as an under-aged competitor in a dangerous tournament between three schools of magic.,405392,289990000,18/11/2005,291,1,No,1
2004,The Punisher,tt0330793,124,Action|Crime|Drama,6.5,An undercover FBI agent becomes a vigilante assassin and sets out to unleash his wrath upon the corrupt businessman who slaughtered his entire family at a reunion.,127284,33680000,16/04/2004,843,0,No,0
2004,The Notebook,tt0332280,123,Drama|Romance,7.9000001,"A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom, but they are soon separated because of their social differences.",410677,60000,25/06/2004,231,0,No,0
2003,School of Rock,tt0332379,108,Comedy|Family|Music,7.0999999,"After being kicked out of a rock band, Dewey Finn becomes a substitute teacher of a strict elementary private school, only to try and turn it into a rock band.",216617,81260000,03/10/2003,1005,0,No,0
2004,Troy,tt0332452,163,Adventure,7.19999981,"An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces and chronicles the fates of the men involved.",395204,133230000,14/05/2004,333,0,No,1
2003,Girl with a Pearl Earring,tt0335119,100,Biography|Drama|Romance,7,A young peasant maid working in the house of painter Johannes Vermeer becomes his talented assistant and the model for one of his most famous works.,61969,11630000,30/01/2004,3457,2,No,3
2003,Lost in Translation,tt0335266,101,Drama,7.80000019,A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.,330944,44570000,03/10/2003,1058,17,No,4
2004,The Passion of the Christ,tt0335345,127,Drama,7.0999999,"Depicts the final twelve hours in the life of Jesus of Nazareth, on the day of his crucifixion in Jerusalem.",183079,370780000,25/02/2004,986,3,No,3
2003,Something's Gotta Give,tt0337741,128,Comedy|Drama|Romance,6.69999981,A swinger on the cusp of being a senior citizen with a taste for young women falls in love with an accomplished woman closer to his age.,93684,124590000,12/12/2003,2451,1,No,1
2007,Live Free or Die Hard,tt0337978,128,Action|Adventure|Thriller,7.19999981,John McClane and a young hacker join forces to take down master cyber-terrorist Thomas Gabriel in Washington D.C.,342686,134520000,27/06/2007,1529,0,No,0
2004,Eternal Sunshine of the Spotless Mind,tt0338013,108,Drama|Fantasy|Romance,8.30000019,"When their relationship turns sour, a couple undergoes a procedure to have each other erased from their memories. But it is only through the process of loss that they discover what they had to begin with.",696228,34130000,19/03/2004,395,14,No,2
2003,The Barbarian Invasions,tt0338135,99,Comedy|Crime|Drama,7.69999981,"During his final days, a dying man is reunited with old friends, former lovers, his ex-wife, and his estranged son.",25362,3430000,05/03/2004,,1,No,2
2003,Evil,tt0338309,113,Drama,7.80000019,"Erik is expelled from school for fighting. He ends up at a private boarding school where the senior students control the young ones. Erik finds a friend in Pierre, his room mate. The story ... See full summary И",30983,20000,26/09/2003,,0,No,1
2003,Paycheck,tt0338337,119,Action|Mystery|Sci-Fi,6.30000019,"What seemed like a breezy idea for an engineer to net him millions of dollars, leaves him on the run for his life and piecing together why he's being chased.",91464,53790000,25/12/2003,2203,0,No,0
2004,The Polar Express,tt0338348,100,Animation|Adventure|Family,6.5999999,"A young boy embarks on a magical adventure to the North Pole on the Polar Express. During his adventure he learns about friendship, bravery, and the spirit of Christmas.",129570,580000,10/11/2004,3126,0,No,3
2004,Van Helsing,tt0338526,131,Action|Adventure,6,The notorious monster hunter is sent to Transylvania to stop Count Dracula who is using Dr. Frankenstein's research and a werewolf for some sinister purpose.,202387,120030000,07/05/2004,1261,0,No,0
2004,The Aviator,tt0338751,170,Biography|Drama,7.5,A biopic depicting the early years of legendary director and aviator Howard Hughes' career from the late 1920s to the mid-1940s.,272977,102610000,25/12/2004,664,22,No,11
2004,A Series of Unfortunate Events,tt0339291,108,Adventure|Comedy|Family,6.80000019,"When a massive fire kills their parents, three children are delivered to the custody of cousin and stage actor Count Olaf, who is secretly plotting to steal their parents' vast fortune.",164113,118630000,17/12/2004,5,5,No,4
2004,Being Julia,tt0340012,104,Comedy|Drama|Romance,7.0999999,"Set in '30s London, the film involves stage actors and their experiences with love and revenge.",10852,7740000,18/02/2005,4015,2,No,1
2003,Monster,tt0340855,109,Biography|Crime|Drama,7.30000019,"Based on the life of Aileen Wuornos, a Daytona Beach prostitute who became a serial killer.",108623,34470000,30/01/2004,638,4,No,1
2004,50 First Dates,tt0343660,99,Comedy|Romance,6.80000019,"Henry Roth is a man afraid of commitment up until he meets the beautiful Lucy. They hit it off and Henry think he's finally found the girl of his dreams, until he discovers she has short-term memory loss and forgets him the very next day.",273503,120780000,13/02/2004,1306,1,No,0
2006,The Good Shepherd,tt0343737,167,Drama|History|Thriller,6.69999981,The tumultuous early history of the Central Intelligence Agency is viewed through the prism of one man's life.,88382,59900000,22/12/2006,2015,1,No,1
2004,"I, Robot",tt0343818,115,Action|Mystery|Sci-Fi,7.0999999,"In 2035, a technophobic cop investigates a crime that may have been perpetrated by a robot, which leads to a larger threat to humanity.",402365,144800000,16/07/2004,1824,0,No,1
2004,A Very Long Engagement,tt0344510,133,Drama|Mystery|Romance,7.69999981,"Tells the story of a young woman's relentless search for her fiancЋ, who has disappeared from the trenches of the Somme during World War One.",63994,6170000,14/01/2005,4003,0,No,2
2004,Alexander,tt0346491,175,Action|Adventure|Biography,5.5,"Alexander, the King of Macedonia and one of the greatest military leaders in the history of warfare, conquers much of the known world.",141884,34290000,24/11/2004,1620,0,No,0
2004,Howl's Moving Castle,tt0347149,119,Animation|Adventure|Family,8.19999981,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",227522,4710000,17/06/2005,1044,4,No,1
2006,Superman Returns,tt0348150,154,Action|Adventure|Sci-Fi,6.0999999,"Superman reappears after a long absence, but is challenged by an old foe who uses Kryptonian technology for world domination.",244354,200070000,28/06/2006,806,0,No,1
2005,Waiting...,tt0348333,94,Comedy,6.80000019,Young employees at Shenaniganz restaurant collectively stave off boredom and adulthood with their antics.,77646,16100000,07/10/2005,1801,0,No,0
2003,Cheaper by the Dozen,tt0349205,98,Comedy|Family,5.80000019,"With his wife doing a book tour, a father of twelve must handle a new job and his unstable brood.",77474,138610000,25/12/2003,2238,0,No,0
2004,King Arthur,tt0349683,126,Action|Adventure|Drama,6.30000019,A demystified take on the tale of King Arthur and the Knights of the Round Table.,139827,51880000,07/07/2004,852,1,No,0
2004,Ocean's Twelve,tt0349903,125,Crime|Thriller,6.5,Daniel Ocean recruits one more team member so he can pull off three major European heists in this sequel to Ocean's 11.,293417,125530000,10/12/2004,498,1,No,0
2004,Ray,tt0350258,152,Biography|Drama|Music,7.69999981,"The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s.",113740,75305995,29/10/2004,3084,12,No,6
2005,Madagascar,tt0351283,86,Animation|Adventure|Comedy,6.9000001,"Spoiled by their upbringing and unaware of what wildlife really is, four animals from the New York Central Zoo escape, unwittingly assisted by four absconding penguins, and find themselves in Madagascar.",278169,193140000,27/05/2005,1595,0,No,0
2002,The Twilight Samurai,tt0351817,129,Drama|History,8.10000038,A 19th-century samurai tries to protect a battered wife.,18588,,02/11/2002,,0,No,1
2004,Walking Tall,tt0351977,86,Action|Crime,6.19999981,"A former U.S. soldier returns to his hometown to find it overrun by crime and corruption, which prompts him to clean house.",54749,45860000,02/04/2004,1910,0,No,0
2005,Cinderella Man,tt0352248,144,Biography|Drama|Sport,8,"The story of James Braddock, a supposedly washed-up boxer who came back to become a champion and an inspiration in the 1930s.",152076,61640000,03/06/2005,1967,4,No,3
2005,The Brothers Grimm,tt0355295,118,Action|Adventure|Comedy,5.9000001,Will and Jake Grimm are traveling con-artists who encounter a genuine fairy-tale curse which requires true courage instead of their usual bogus exorcisms.,100722,37900000,26/08/2005,2273,0,No,0
2004,EuroTrip,tt0356150,93,Comedy,6.5999999,"Dumped by his girlfriend, a high school grad decides to embark on an overseas adventure in Europe with his friends.",165885,17720000,20/02/2004,795,0,No,0
2004,A Cinderella Story,tt0356470,95,Comedy|Family|Romance,5.9000001,"Routinely exploited by her wicked stepmother, the downtrodden Sam Montgomery is excited about the prospect of meeting her Internet beau at the school's Halloween dance.",65358,51430000,16/07/2004,927,0,No,0
2005,The Family Stone,tt0356680,103,Comedy|Drama|Romance,6.30000019,"An uptight, conservative businesswoman accompanies her boyfriend to his eccentric and outgoing family's annual Christmas celebration and finds that she's a fish out of water in their free-spirited way of life.",50844,6060000,16/12/2005,1889,1,No,0
